"ACT_CUM_75","Adm_Rate","Avg_Cost_Academic_Year","Avg_Cost_Program_Year","Avg_Fac_Sal","City","City_State","COLLEGE","Compl_Repay_1yr_Rate","Compl_Repay_7yr_Rate","CompletionRate_150_4","CompletionRate_150_L4","Control","Highest_Deg","In_state_Tuition","Institution_Name","Lat","Level_of_institution","Locale","Long","Low_Inc_Aid","Main_Campus","Noncom_Repay_1yr_Rate","Noncom_Repay_7yr_Rate","Out_of_state_Tuition","Parent_Ed_HS","Parent_Ed_MS","Parent_Ed_PS","Percent_2OrMore","Percent_AIAN","Percent_Asian","Percent_Black","Percent_Female","Percent_First_Gen","Percent_Full_time_Fac","Percent_Hisp","Percent_Male","Percent_NHPI","Percent_NRA","Percent_Part_time","Percent_UNKN","Percent_Veterans","Percent_White","Predominant_Ugrad_Deg","Religious_Affiliation","RetentionRate_FT4","RetentionRate_FTL4","RetentionRate_PT4","RetentionRate_PTL4","SAT_M_75","SAT_R_75","SAT_W_75","State","TIV_Approval_Date","Top3Majors","Undergrad_Enrollment","URL","Zip"
34,0.1066,67887,0,16067,"Evanston","Evanston_IL",566,0.890384615,0.933849402,0.9351,0.0,"Private_nonprofit","Graduate_degree",50855,"Northwestern_University",42.050356,4,"City:_Small_(population_less_than_100,000)",-87.679858,0.269002375,"Yes",0.670951157,0.828306265,50855,0.128157733,0.023413432,0.848428836,0.0508,6.0E-4,0.1711,0.059,0.524346793,0.151571165,0.8193,0.1248,0.01543943,0.0,0.0899,0.0367,0.0194,0.0,0.4844,"Predominantly_bachelors-degree_granting","",0.9797,0.0,0.0,0.0,800,760,770,"IL",1965-12-01,"Hebrew,_Theatre,_Photography",8563,"www.northwestern.edu",60208
27,0.4351,25310,0,7221,"Purchase","Purchase_NY",1471,0.597389558,0.775167785,0.619,0.0,"Public","Graduate_degree",8298,"SUNY_at_Purchase_College",41.047223,4,"Suburb:_Large_(outside_principal_city,_in_urbanized_area_with_population_of_250,000_or_more)",-73.701955,0.354330709,"Yes",0.479750779,0.696055685,18148,0.22229064,0.01908867,0.75862069,0.0487,0.0031,0.0354,0.111,0.588863892,0.24137931,0.3694,0.1917,0.014060742,0.0015,0.0195,0.0664,0.0625,0.0,0.5265,"Predominantly_bachelors-degree_granting","",0.8111,0.0,0.6667,0.0,570,610,0,"NY",1969-01-01,"Arabic,_Public_Health,_Philosophy",3901,"www.purchase.edu",105771400
22,0.6931,45655,0,5744,"Springfield","Springfield_MA",876,0.536324786,0.748091603,0.4387,0.0,"Private_nonprofit","Graduate_degree",33140,"American_International_College",42.112708,4,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-72.558507,0.383625731,"Yes",0.285115304,0.520868114,33140,0.386612022,0.019125683,0.594262295,0.0213,0.0036,0.0121,0.2564,0.594152047,0.405737705,0.1953,0.1399,0.037426901,0.0064,0.0369,0.0433,0.1364,0.0,0.3871,"Predominantly_bachelors-degree_granting","",0.6914,0.0,0.5,0.0,500,490,480,"MA",1985-01-01,"Physics,_Developmental_Psychology,_French",1408,"www.aic.edu",1109
27,0.7424,17778,0,7075,"La_Crosse","La_Crosse_WI",2375,0.841056303,0.947145877,0.6776,0.0,"Public","Graduate_degree",9091,"University_of_Wisconsin-La_Crosse",43.81568,4,"City:_Small_(population_less_than_100,000)",-91.23186,0.144141531,"Yes",0.640182648,0.829354554,17612,0.210478498,0.003331314,0.786190188,0.0267,0.0015,0.0234,0.0081,0.577436195,0.213809812,0.8576,0.0353,0.011890951,6.0E-4,0.0102,0.0394,4.0E-4,0.0,0.8938,"Predominantly_bachelors-degree_granting","",0.8627,0.0,0.6667,0.0,0,0,0,"WI",1965-12-19,"Chinese,_Aerospace_Engineering,_Chemistry",9517,"www.uwlax.edu",546019959
0,0.0,11758,0,7505,"Auburn","Auburn_NY",1334,0.414187643,0.638522427,0.0,0.2602,"Public","Associate_degree",5043,"Cayuga_County_Community_College",42.943726,2,"Town:_Distant_(in_urban_cluster_more_than_10_miles_and_up_to_35_miles_from_an_urbanized_area)",-76.542867,0.504021448,"Yes",0.259589652,0.422585227,9542,0.401348039,0.035539216,0.563112745,0.0263,0.0057,0.0053,0.0643,0.654691689,0.436887255,0.3333,0.0411,0.107774799,4.0E-4,0.0066,0.3015,0.0105,0.013941019,0.8398,"Predominantly_associates-degree_granting","",0.0,0.5873,0.0,0.4474,0,0,0,"NY",1967-05-01,"Jewish_Studies,_Dance,_Statistics",2285,"www.cayuga-cc.edu/",130213099
29,0.7257,24768,0,8876,"Louisville","Louisville_KY",767,0.673930269,0.831306991,0.5269,0.0,"Public","Graduate_degree",11264,"University_of_Louisville",38.216862,4,"City:_Large_(population_of_250,000_or_more)",-85.760412,0.337511353,"Yes",0.408866995,0.613144137,26286,0.285520186,0.01882764,0.695652174,0.0468,0.001,0.0359,0.1117,0.551316985,0.304347826,0.6645,0.0436,0.063033606,6.0E-4,0.0123,0.1801,0.0012,0.00181653,0.7469,"Predominantly_bachelors-degree_granting","",0.7967,0.0,0.5493,0.0,0,0,590,"KY",1965-12-01,"Nursing,_Digital_Communications_and_Media/Multimedia,_Mathematics",15033,"www.louisville.edu",402920001
21,0.5622,42081,0,5187,"Laurinburg","Laurinburg_NC",1571,0.484375,0.68907563,0.3608,0.0,"Private_nonprofit","Graduate_degree",25874,"St._Andrews_University",34.74563,4,"Town:_Distant_(in_urban_cluster_more_than_10_miles_and_up_to_35_miles_from_an_urbanized_area)",-79.478567,0.389473684,"No",0.312359551,0.513071895,25874,0.34798995,0.018844221,0.633165829,0.0234,0.0088,0.0073,0.1684,0.34619883,0.366834171,0.5593,0.0161,0.05497076,0.0,0.1332,0.104,0.2284,0.0,0.4143,"Predominantly_bachelors-degree_granting","Presbyterian_Church_(USA)",0.5069,0.0,0.0,0.0,490,480,0,"NC",2011-09-21,"Economics,_English,_German",683,"www.sa.edu",28352
17,0.2458,24239,0,4455,"Augusta","Augusta_GA",461,0.205128205,0.325842697,0.2047,0.0,"Private_nonprofit","Bachelors_degree",14224,"Paine_College",33.469545,4,"City:_Midsize_(population_of_at_least_100,000_but_less_than_250,000)",-81.993225,0.674193548,"Yes",0.089430894,0.254237288,14224,0.0,0.0,0.621428571,0.0167,0.0072,0.0024,0.8783,0.55483871,0.378571429,0.6667,0.0239,0.0,0.0,0.0286,0.0716,0.0191,0.0,0.0239,"Predominantly_bachelors-degree_granting","United_Methodist",0.352,0.0,0.3333,0.0,410,420,430,"GA",1965-12-01,"International_Studies,_Sports_Management,_French",419,"www.paine.edu",309013182
0,1.0,22826,0,3292,"Philadelphia","Philadelphia_PA",1866,0.210526316,0.315068493,0.0,0.4483,"Private_nonprofit","Associate_degree",12097,"The_Workforce_Institutes_City_College",40.017493,2,"City:_Large_(population_of_250,000_or_more)",-75.135042,0.0,"Yes",0.184210526,0.201834862,12097,0.0,0.0,0.416666667,0.0645,0.0,0.0,0.7097,0.547169811,0.583333333,0.0,0.0968,0.0,0.0,0.0,0.3548,0.0,0.0,0.129,"Predominantly_associates-degree_granting","",0.0,0.5,0.0,1.0,0,0,0,"PA",1995-03-27,"Portuguese,_African_Studies,_European_History",31,"citycollege-careers.org/",19140
0,0.0,24699,0,4983,"Belleville","Belleville_NJ",2572,0.21686747,0.408823529,0.8923,0.0,"Private_for-profit","Bachelors_degree",21225,"Eastern_International_College-Belleville",40.789635,4,"Suburb:_Large_(outside_principal_city,_in_urbanized_area_with_population_of_250,000_or_more)",-74.152439,0.617073171,"No",0.186813187,0.243478261,21225,0.454545455,0.068181818,0.477272727,0.0,0.0045,0.036,0.2973,0.904878049,0.522727273,0.5357,0.4054,0.16097561,0.0,0.0,0.2703,0.0,0.0,0.2568,"Predominantly_associates-degree_granting","",0.7838,0.0,0.7857,0.0,0,0,0,"NJ",2005-08-17,"Art,_Philosophy,_Japanese",222,"www.eicollege.edu",7109
29,0.7084,25085,0,9449,"Norman","Norman_OK",1742,0.781427669,0.875545852,0.6751,0.0,"Public","Graduate_degree",10881,"University_of_Oklahoma-Norman_Campus",35.209407,4,"Suburb:_Midsize_(outside_principal_city,_in_urbanized_area_with_population_of_at_least_100,000_but_less_than_250,000)",-97.444211,0.303803269,"Yes",0.537337147,0.742284358,25203,0.258921297,0.024767802,0.716310901,0.0767,0.0398,0.0617,0.0489,0.557354514,0.283689099,0.8361,0.0947,0.093477929,0.001,0.0436,0.1359,0.0207,0.005040477,0.6128,"Predominantly_bachelors-degree_granting","",0.9039,0.0,0.8065,0.0,680,665,0,"OK",1965-12-01,"Physics,_Materials_Science,_Chemical_Engineering",21082,"www.ou.edu",730193072
0,0.0,41881,0,5930,"Brookline","Brookline_MA",911,0.0,0.0,0.6923,0.0,"Private_nonprofit","Graduate_degree",22490,"Hellenic_College-Holy_Cross_Greek_Orthodox_School_of_Theology",42.317018,4,"Suburb:_Large_(outside_principal_city,_in_urbanized_area_with_population_of_250,000_or_more)",-71.129418,0.314814815,"Yes",0.0,0.0,22490,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.296296296,0.0,1.0,0.0104,0.0,0.0,0.0,0.0,0.1146,0.0,0.8646,"Predominantly_bachelors-degree_granting","Greek_Orthodox",0.9286,0.0,0.0,0.0,0,0,0,"MA",1991-05-23,"Statistics,_Computer_and_Information_Science,_German",96,"www.hchc.edu",24457415
